17.06.2026                                                       °“√· ¥ß√“¬°“√·∫∫‰¥π“¡‘°                                                               1
--------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------
|  «— ¥ÿ        |§”Õ∏‘∫“¬«— ¥ÿ                           |Plnt|„∫ —Ëß|‚§√ß¢Ë“¬  |        Õß§Ïª√–°Õ∫ WBS|MvT|ª¡.µÈÕß°“√|RemovedQty|ª√‘¡“≥µË“ß|«—πµÈÕß°“√|
|  1-02-005-0004|CABLE,AERIAL,AL 22 KV. 1X185 SQ.MM.     |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|   16,570 |   16,570 |        0 |02.09.2025|
|  1-02-018-0001|TAPE,PVC,O/D,0.18X19X10,000 MM. TIS.386 |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       33 |       33 |        0 |02.09.2025|
|  1-02-020-0000|TAPE,ARMOR,AL 1X10 MM.                  |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|    1.200 |    1.200 |        0 |02.09.2025|
|  1-02-020-0003|COVERED TIE WIRE.AL.4.0 MM.             |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|      700 |      700 |        0 |02.09.2025|
|  1-02-033-0006|HOTLINE BAIL-CLAMP,MAIN 70-185 SQ.MM.   |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       22 |       22 |        0 |02.09.2025|
|  1-02-033-0104|HOTLINE CLAMP,MAIN35-185,TAP50-185SQ.MM.|D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       22 |       22 |        0 |02.09.2025|
|  1-02-044-0112|BRACKET,SAC CORNER SUPPORT, 22-33 KV    |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       35 |       35 |        0 |02.09.2025|
|  1-03-001-0002|INSULATOR,LINE-POST, 22 KV.,57-2L,P/A   |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|      165 |      165 |        0 |02.09.2025|
|  1-03-002-0000|INSULATOR,SUSPENSION,CLASS 52-1,TIS.354 |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|      180 |      180 |        0 |02.09.2025|
|  1-03-003-0103|INSULATOR,STRAIN,CLASS 54-4 TIS.280     |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       28 |       28 |        0 |02.09.2025|
|  1-03-014-0011|CLEVIS,THIMBLE,FOR PREFORMED DEAD-END   |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       60 |       60 |        0 |02.09.2025|
|  1-08-004-0001|CONDUIT,PVC,RIGID, 20X2500 MM.TIS.216   |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|        6 |        6 |        0 |02.09.2025|
|  9-09-001-0035|§Õ¡ª“«¥Ï™Ë«¬°“√ —¡º— ∑“ß‰øøÈ“           |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|    0.330 |        0 |    0.330 |02.09.2025|
|  1-00-011-0001|CROSSARM 100X100X2,500 MM.              |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       65 |       65 |        0 |02.09.2025|
|  1-01-011-0205|BOLT,MACHINE M.16X350 MM.               |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       20 |       20 |        0 |02.09.2025|
|  1-02-044-0102|CLAMP,GUY,TRIPLE BOLT                   |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|      130 |      130 |        0 |02.09.2025|
|  1-02-044-0103|LINK,CABLE SPACER                       |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|      130 |      130 |        0 |02.09.2025|
|  1-02-044-0008|CABLE SPACER,HDPE-MTEC,SAC 50-185 SQ.MM.|D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|      490 |      490 |        0 |02.09.2025|
|  1-02-044-0119|ÀË«ß√—¥ “¬‡§‡∫‘≈Õ“°“»·∫∫¬◊¥À¬ÿËπ        |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|    1,470 |    1,470 |        0 |02.09.2025|
|  1-01-013-0005|BOLT,DOUBLE ARMING ROUND,EYE M.16X650MM.|D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       21 |       21 |        0 |02.09.2025|
|  1-00-001-0013|POLE 14.3 M.                            |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       10 |       11 |        1-|02.09.2025|
|  1-02-020-0002|TIE WIRE,AL 4.0 MM.                     |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       50 |       50 |        0 |02.09.2025|
|  1-02-030-0103|CONN.,PG,TRIPLE BOLT,AL70-18S SQ.MM.    |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       30 |       30 |        0 |02.09.2025|
|  1-02-030-0102|CONN.,PG,DOUBLE BOLT,AL 25-95 SQ.MM.    |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       30 |       30 |        0 |02.09.2025|
|  1-02-018-0008|EPR, HIGH-VOLTAGE INSULATING TAPE       |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       99 |       99 |        0 |02.09.2025|
|  1-02-026-0205|PREFORMED D/E,SAC 22kV 185sq.mm. 29.78mm|D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       60 |       60 |        0 |02.09.2025|
|  1-02-040-0017|SLEEVE,TENSION AL 185 SQ.MM.            |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       30 |       30 |        0 |02.09.2025|
|  1-02-041-0017|SLEEVE,TENSIONLESS AL 185 SQ.MM.        |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       60 |       60 |        0 |02.09.2025|
|  1-00-004-0003|ANCHOR, PLATE, CONCRETE 600X600X180 MM. |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       10 |       10 |        0 |02.09.2025|
|  1-01-011-0200|BOLT,MACHINE M.16X130 MM.               |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|      140 |      140 |        0 |02.09.2025|
|  1-01-021-0300|ANCLE GUY ATTACHMENT 30 DEG.            |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|        8 |        8 |        0 |02.09.2025|
|  1-00-001-0002|POLE  9 M.                              |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|        9 |        0 |        9 |02.09.2025|
|  1-01-011-0201|BOLT,MACHINE M.16X170 MM.               |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|        9 |        9 |        0 |02.09.2025|
|  1-01-011-0202|BOLT,MACHINE M.16X200 MM.               |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|       30 |       30 |        0 |02.09.2025|
|  1-01-011-0203|BOLT,MACHINE M.16X250 MM.               |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|       10 |       10 |        0 |02.09.2025|
|  1-01-011-0204|BOLT,MACHINE M.16X300 MM.               |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|       50 |       50 |        0 |02.09.2025|
|  1-01-011-0207|BOLT,MACHINE M.16X450 MM.               |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|       50 |       50 |        0 |02.09.2025|
|  1-01-018-0100|WASHER,PLAIN,SQUARE, 52X52X4.5 MM.      |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|       91 |       91 |        0 |02.09.2025|
|  1-02-018-0001|TAPE,PVC,O/D,0.18X19X10,000 MM. TIS.386 |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|       20 |       20 |        0 |02.09.2025|
|  1-02-020-0000|TAPE,ARMOR,AL 1X10 MM.                  |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|    0.450 |    0.450 |        0 |02.09.2025|
|  1-02-020-0002|TIE WIRE,AL 4.0 MM.                     |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|    6.050 |    6.050 |        0 |02.09.2025|
|  1-02-032-0003|H-CONNECTOR,MAIN AL 50-95 ,TAP CU 50-95 |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|       10 |        0 |       10 |02.09.2025|
|  1-03-003-0000|INSULATOR,SPOOL,CLASS 53-2 TIS.227      |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|      128 |      128 |        0 |02.09.2025|
|  1-03-013-0000|RACK, 2X200 MM. EXT.BACK                |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|       48 |       48 |        0 |02.09.2025|
|  1-03-013-0002|RACK, 4X200 MM. EXT.BACK                |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|       22 |       22 |        0 |02.09.2025|
|  1-06-005-0001|METER,WATTHOUR,1 P,2 W 5(15)A.,O/D      |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|       15 |        0 |       15 |02.09.2025|
|  9-09-001-0035|§Õ¡ª“«¥Ï™Ë«¬°“√ —¡º— ∑“ß‰øøÈ“           |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|    0.100 |        0 |    0.100 |02.09.2025|
|  1-01-011-0205|BOLT,MACHINE M.16X350 MM.               |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|       20 |       20 |        0 |02.09.2025|
|  1-02-026-0301|PREFORMED D/E, AW 50 SQ.MM.             |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|       40 |       40 |        0 |02.09.2025|
|  1-02-030-0102|CONN.,PG,DOUBLE BOLT,AL 25-95 SQ.MM.    |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|       40 |       40 |        0 |02.09.2025|
|  1-04-000-0300|S.A. 250-500 V. 2.5-5.0 KA              |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|       12 |       12 |        0 |02.09.2025|
|  1-04-002-0100|L.T. FUSE-SWITCHES 1X400 A. 500 V.      |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|        5 |        5 |        0 |02.09.2025|
|  1-02-007-0002|CABLE,AL,750 V,50 SQ.MM. TIS.293        |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|    2,700 |    2,700 |        0 |02.09.2025|
|  1-02-007-0000|CABLE,AL,750 V,25 SQ.MM. TIS.293        |D060|      |6000980434|P-SEZ02.0-D-NPND0.2042|281|      300 |      300 |        0 |02.09.2025|
|  1-00-001-0006|POLE 14 M.                              |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       15 |        0 |       15 |02.09.2025|
|  1-00-001-0012|POLE 12.2 M.                            |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       10 |        1 |        9 |02.09.2025|
|  1-00-004-0001|ANCHOR,PLATE, CONCRETE 550X550X150 MM.  |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       15 |       15 |        0 |02.09.2025|
|  1-00-011-0003|CROSSARM (FOR D/E) 120X120X2,000 MM.    |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       38 |        0 |       38 |02.09.2025|
|  1-00-011-0004|CROSSARM (FOR D/E) 120X120X2,500 MM.    |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       20 |       20 |        0 |02.09.2025|
|  1-01-010-0000|WIRE,ST. SOLID DIA. 4.0 MM.TIS.71       |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|   60.500 |   60.500 |        0 |02.09.2025|
|  1-01-010-0004|ST. WIRE, STRANDED 50/7 SQ.MM.TIS.404   |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|    5,706 |    5,706 |        0 |02.09.2025|
|  1-01-010-0006|ST. WIRE, STRANDED 95 SQ.MM.TIS.404     |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|      426 |      426 |        0 |02.09.2025|
|  1-01-011-0201|BOLT,MACHINE M.16X170 MM.               |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|      198 |      198 |        0 |02.09.2025|
|  1-01-011-0205|BOLT,MACHINE M.16X350 MM.               |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       52 |       52 |        0 |02.09.2025|
|  1-01-011-0208|BOLT,MACHINE M.16X500 MM.               |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       51 |       51 |        0 |02.09.2025|
|  1-01-011-0209|BOLT MACHINE M.16X600 MM.               |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       40 |       40 |        0 |02.09.2025|
|  1-01-013-0002|BOLT,DOUBLE ARMING,ROUND EYE M.16X500MM.|D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       51 |       51 |        0 |02.09.2025|
|  1-01-013-0003|BOLT,DOUBLE ARMING,ROUND EYE M.16X600MM.|D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       40 |       24 |       16 |02.09.2025|
|  1-01-018-0001|NUT,EYE M.16 DIN 582                    |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       64 |       64 |        0 |02.09.2025|
|  1-01-018-0100|WASHER,PLAIN,SQUARE, 52X52X4.5 MM.      |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|      760 |      760 |        0 |02.09.2025|
|  1-01-018-0201|WASHER,SQUARE,CURVED 60X60X5 MM.        |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       48 |       48 |        0 |02.09.2025|
|  1-01-018-0301|WASHER,LOCK,SPRING,SIZE 16 MM.,TIS.259  |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|      120 |      120 |        0 |02.09.2025|
|  1-01-020-0001|BRACE,FLAT,FOR CROSSARM 30X6X760 MM.    |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|      160 |      160 |        0 |02.09.2025|
|  1-01-021-0000|ROD,ANCHOR,ROUND EYE M.16, 2 M.LONG     |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       15 |       15 |        0 |02.09.2025|
|  1-01-021-0304|THIMBLE,GUY,FOR STEEL WIRE 50-95 SQ.MM. |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       16 |       16 |        0 |02.09.2025|
|  1-01-022-0002|GROUND ROD,60X60X5 MM. 2 M.LONG         |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|        7 |        7 |        0 |02.09.2025|
|  1-01-022-0123|WELDING POWDER, ST. WIRE 50 SQ.MM. TO GD|D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       15 |        0 |       15 |02.09.2025|
|  1-01-023-0000|CLAMP,SINGLE U-BOLT,M.8 (WIRE ROPE CLIP)|D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|      168 |      168 |        0 |02.09.2025|
|  1-01-023-0001|CLAMP,DOUBLE U-BOLT,M.16(WIRE ROPE CLIP)|D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       28 |       28 |        0 |02.09.2025|
|  1-02-005-0004|CABLE,AERIAL,AL 22 KV. 1X185 SQ.MM.     |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|   17,120 |   17,120 |        0 |02.09.2025|
|  1-02-018-0001|TAPE,PVC,O/D,0.18X19X10,000 MM. TIS.386 |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       33 |        0 |       33 |02.09.2025|
|  1-02-018-0003|SPLICING TAPE,AERIAL CABLE,3/4X30'      |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|      107 |        0 |      107 |02.09.2025|
|  1-02-020-0000|TAPE,ARMOR,AL 1X10 MM.                  |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|        1 |        0 |        1 |02.09.2025|
|  1-02-020-0003|COVERED TIE WIRE.AL.4.0 MM.             |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|    1,000 |    1,000 |        0 |02.09.2025|
|  1-02-026-0201|PREFORMED D/E,SAC 22 KV 185 SQ.MM.      |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       48 |        0 |       48 |02.09.2025|
|  1-02-030-0103|CONN.,PG,TRIPLE BOLT,AL70-18S SQ.MM.    |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       24 |       24 |        0 |02.09.2025|
|  1-02-033-0006|HOTLINE BAIL-CLAMP,MAIN 70-185 SQ.MM.   |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       45 |        0 |       45 |02.09.2025|
|  1-02-033-0104|HOTLINE CLAMP,MAIN35-185,TAP50-185SQ.MM.|D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       45 |        0 |       45 |02.09.2025|
|  1-02-040-0007|CONN.,SPLICE,TENSION AL 185 SQ.MM.      |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       30 |        0 |       30 |02.09.2025|
|  1-02-041-0007|CONN.,SPLICE,TENSIONLESS AL 185 SQ.MM.  |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       24 |        0 |       24 |02.09.2025|
|  1-02-044-0112|BRACKET,SAC CORNER SUPPORT, 22-33 KV    |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       52 |       52 |        0 |02.09.2025|
|  1-03-001-0002|INSULATOR,LINE-POST, 22 KV.,57-2L,P/A   |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|      210 |      124 |       86 |02.09.2025|
|  1-03-002-0000|INSULATOR,SUSPENSION,CLASS 52-1,TIS.354 |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|      162 |        0 |      162 |02.09.2025|
|  1-03-003-0103|INSULATOR,STRAIN,CLASS 54-4 TIS.280     |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       30 |       30 |        0 |02.09.2025|
|  1-03-014-0011|CLEVIS,THIMBLE,FOR PREFORMED DEAD-END   |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       48 |       48 |        0 |02.09.2025|
|  1-04-001-0002|DROPOUT,FUSE,22 KV.100 A.12 KA          |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|        2 |        0 |        2 |02.09.2025|
|  1-08-004-0001|CONDUIT,PVC,RIGID, 20X2500 MM.TIS.216   |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|        7 |        0 |        7 |02.09.2025|
|  9-09-001-0035|§Õ¡ª“«¥Ï™Ë«¬°“√ —¡º— ∑“ß‰øøÈ“           |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|    0.570 |        0 |    0.570 |02.09.2025|
|  1-01-013-0005|BOLT,DOUBLE ARMING ROUND,EYE M.16X650MM.|D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       27 |       27 |        0 |02.09.2025|
|  1-02-044-0103|LINK,CABLE SPACER                       |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|      120 |      120 |        0 |02.09.2025|
|  1-02-044-0008|CABLE SPACER,HDPE-MTEC,SAC 50-185 SQ.MM.|D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|      393 |      393 |        0 |02.09.2025|
|  1-02-044-0119|ÀË«ß√—¥ “¬‡§‡∫‘≈Õ“°“»·∫∫¬◊¥À¬ÿËπ        |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|    1,179 |    1,179 |        0 |02.09.2025|
|  1-00-011-0001|CROSSARM 100X100X2,500 MM.              |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       60 |       60 |        0 |02.09.2025|
|  1-02-044-0102|CLAMP,GUY,TRIPLE BOLT                   |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|      198 |      170 |       28 |02.09.2025|
|  1-02-018-0008|EPR, HIGH-VOLTAGE INSULATING TAPE       |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|      107 |      107 |        0 |02.09.2025|
|  1-02-026-0205|PREFORMED D/E,SAC 22kV 185sq.mm. 29.78mm|D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       48 |       48 |        0 |02.09.2025|
|  1-02-040-0017|SLEEVE,TENSION AL 185 SQ.MM.            |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       30 |       30 |        0 |02.09.2025|
|  1-02-041-0017|SLEEVE,TENSIONLESS AL 185 SQ.MM.        |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       24 |       24 |        0 |02.09.2025|
|  1-01-011-0207|BOLT,MACHINE M.16X450 MM.               |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|      104 |      104 |        0 |02.09.2025|
|  1-01-011-0200|BOLT,MACHINE M.16X130 MM.               |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|      120 |      120 |        0 |02.09.2025|
|  1-00-001-0013|POLE 14.3 M.                            |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|       16 |       11 |        5 |02.09.2025|
|  1-02-044-0122|MESSENGER GROUND WIRE BAYONET BRACKET   |D060|      |6000980444|P-SEZ02.0-D-NPND0.2043|281|        4 |        4 |        0 |02.09.2025|
|  1-00-001-0002|POLE  9 M.                              |D060|      |6000980445|P-SEZ02.0-D-NPND0.2043|281|        9 |        5 |        4 |02.09.2025|
|  1-01-011-0201|BOLT,MACHINE M.16X170 MM.               |D060|      |6000980445|P-SEZ02.0-D-NPND0.2043|281|       16 |       12 |        4 |02.09.2025|
|  1-01-011-0204|BOLT,MACHINE M.16X300 MM.               |D060|      |6000980445|P-SEZ02.0-D-NPND0.2043|281|       28 |        0 |       28 |02.09.2025|
|  1-01-011-0207|BOLT,MACHINE M.16X450 MM.               |D060|      |6000980445|P-SEZ02.0-D-NPND0.2043|281|       42 |       42 |        0 |02.09.2025|
|  1-01-018-0100|WASHER,PLAIN,SQUARE, 52X52X4.5 MM.      |D060|      |6000980445|P-SEZ02.0-D-NPND0.2043|281|       78 |       78 |        0 |02.09.2025|
|  1-02-008-0501|CABLE,CU,PVC,INS.&JAC. 600V, 2X10 SQ.MM.|D060|      |6000980445|P-SEZ02.0-D-NPND0.2043|281|       70 |       70 |        0 |02.09.2025|
|  1-02-018-0001|TAPE,PVC,O/D,0.18X19X10,000 MM. TIS.386 |D060|      |6000980445|P-SEZ02.0-D-NPND0.2043|281|        6 |        6 |        0 |02.09.2025|
